name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Gonzalez,00-0006101,no,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,230,408,35,1,1,4175,,,,,,,
R.White,00-0023462,no,ATL,WR,,,,,,3,4,8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297,476,539,46,3,2,6905,2,5,0,0,0,0,5
M.Jenkins,00-0022781,no,ATL,,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,73,169,8,0,0,2055,,,,,,,
B.Williams,00-0021229,no,ATL,,14,0,1,1,37,0,0,1,2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Babineaux,00-0023494,no,ATL,DE,65,7,2,18.5,138,0,0,0,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Elam,00-0004811,no,ATL,,,,,,,,,,,,19,12,294,36,33,0,32,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Koenen,00-0023234,no,ATL,P,,,,,,1,1,2,2,5,,,,,,,,,,,,,,,2,0,0,0,0,0,0,3591,129,5041,443,19075,,,,,,,,,,,,,,,,,,,
E.Weems,00-0024535,no,ATL,WR,,,,,,2,3,4,6,1,,,,,,,,,,1311,1649,102,135,1,,,,,,,,,,,,,420,586,55,80,1,238,8,36,4,0,0,338,8,66,,0,0,0,53
B.Finneran,00-0005231,no,ATL,,,,,,,0,1,0,1,0,,,,,,,,,,40,40,0,3,0,,,,,,,,,,,,,,,,,,190,27,30,3,0,0,277,,,,,,,
S.Nicholas,00-0025496,no,ATL,,78,5,2,7,216,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.DeCoud,00-0026238,no,ATL,,95,4,15,3,315,1,0,1,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,
T.Johnson,00-0023195,no,ATL,,4,1,0,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Jerry,00-0027000,no,ATL,,16,1,0,5.5,51,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
